#,,,,"generated_by='OpenQuake engine 3.21.0', start_date='2025-07-24T11:00:29', checksum=780008276, investigation_time=50.0, mag_bin_edges=[4.5, 5.0, 5.5, 6.0, 6.5, 7.0, 7.5, 8.0, 8.5, 9.0], dist_bin_edges=[0.0, 10.0, 20.0, 30.0, 40.0, 50.0, 60.0, 70.0, 80.0, 90.0, 100.0, 110.0, 120.0, 130.0, 140.0, 150.0, 160.0, 170.0, 180.0, 190.0, 200.0, 210.0, 220.0, 230.0, 240.0, 250.0, 260.0, 270.0, 280.0, 290.0, 300.0, 310.0, 320.0, 330.0, 340.0, 350.0, 360.0, 370.0, 380.0, 390.0, 400.0], lon_bin_edges=[-82.08239683699213, -81.68269718843744, -81.28299753988277, -80.88329789132808, -80.48359824277341, -80.08389859421872, -79.68419894566405, -79.28449929710936, -78.88479964855468, -78.4851, -78.08540035144532, -77.68570070289064, -77.28600105433596, -76.88630140578128, -76.4866017572266, -76.08690210867192, -75.68720246011723, -75.28750281156256, -74.88780316300787], lat_bin_edges=[-3.77258, -3.372882222222222, -2.973184444444444, -2.5734866666666663, -2.1737888888888883, -1.7740911111111104, -1.3743933333333325, -0.9746955555555545, -0.5749977777777766, -0.17529999999999868, 0.22439777777777925, 0.6240955555555572, 1.023793333333335, 1.423491111111113, 1.823188888888891, 2.222886666666669, 2.622584444444447, 3.0222822222222248, 3.4219800000000027], eps_bin_edges=[-6.0, -4.0, -2.0, 0.0, 2.0, 4.0, 6.0], tectonic_region_types=['Active Shallow Crust', 'Subduction Interface', 'Subduction IntraSlab'], lon=-78.4851, lat=-0.1753"
imt,iml,poe,mag,mean
SA(3.53),2.15830E-01,2.00000E-02,4.75000E+00,0.00000E+00
SA(3.53),2.15830E-01,2.00000E-02,5.25000E+00,4.24381E-10
SA(3.53),2.15830E-01,2.00000E-02,5.75000E+00,5.47549E-06
SA(3.53),2.15830E-01,2.00000E-02,6.25000E+00,2.54711E-03
SA(3.53),2.15830E-01,2.00000E-02,6.75000E+00,6.27260E-03
SA(3.53),2.15830E-01,2.00000E-02,7.25000E+00,1.10368E-02
SA(3.53),2.15830E-01,2.00000E-02,7.75000E+00,1.80265E-04
SA(3.53),2.15830E-01,2.00000E-02,8.25000E+00,1.52142E-04
SA(3.53),2.15830E-01,2.00000E-02,8.75000E+00,3.38195E-04
SA(3.53),1.05040E-01,1.00000E-01,4.75000E+00,7.11173E-10
SA(3.53),1.05040E-01,1.00000E-01,5.25000E+00,1.60733E-07
SA(3.53),1.05040E-01,1.00000E-01,5.75000E+00,2.65828E-04
SA(3.53),1.05040E-01,1.00000E-01,6.25000E+00,2.18978E-02
SA(3.53),1.05040E-01,1.00000E-01,6.75000E+00,3.28971E-02
SA(3.53),1.05040E-01,1.00000E-01,7.25000E+00,4.46215E-02
SA(3.53),1.05040E-01,1.00000E-01,7.75000E+00,2.26925E-03
SA(3.53),1.05040E-01,1.00000E-01,8.25000E+00,1.98201E-03
SA(3.53),1.05040E-01,1.00000E-01,8.75000E+00,3.17935E-03
SA(3.53),7.05592E-02,2.00000E-01,4.75000E+00,2.36186E-08
SA(3.53),7.05592E-02,2.00000E-01,5.25000E+00,2.32798E-06
SA(3.53),7.05592E-02,2.00000E-01,5.75000E+00,1.58420E-03
SA(3.53),7.05592E-02,2.00000E-01,6.25000E+00,5.58213E-02
SA(3.53),7.05592E-02,2.00000E-01,6.75000E+00,6.61413E-02
SA(3.53),7.05592E-02,2.00000E-01,7.25000E+00,8.36015E-02
SA(3.53),7.05592E-02,2.00000E-01,7.75000E+00,7.41157E-03
SA(3.53),7.05592E-02,2.00000E-01,8.25000E+00,6.01976E-03
SA(3.53),7.05592E-02,2.00000E-01,8.75000E+00,8.19118E-03
SA(3.53),3.51266E-02,5.00000E-01,4.75000E+00,3.20316E-06
SA(3.53),3.51266E-02,5.00000E-01,5.25000E+00,1.30576E-04
SA(3.53),3.51266E-02,5.00000E-01,5.75000E+00,2.03878E-02
SA(3.53),3.51266E-02,5.00000E-01,6.25000E+00,2.04263E-01
SA(3.53),3.51266E-02,5.00000E-01,6.75000E+00,1.79547E-01
SA(3.53),3.51266E-02,5.00000E-01,7.25000E+00,2.10111E-01
SA(3.53),3.51266E-02,5.00000E-01,7.75000E+00,4.13205E-02
SA(3.53),3.51266E-02,5.00000E-01,8.25000E+00,2.62236E-02
SA(3.53),3.51266E-02,5.00000E-01,8.75000E+00,2.77644E-02
SA(3.53),2.44516E-02,6.87000E-01,4.75000E+00,2.89055E-05
SA(3.53),2.44516E-02,6.87000E-01,5.25000E+00,7.71393E-04
SA(3.53),2.44516E-02,6.87000E-01,5.75000E+00,5.87015E-02
SA(3.53),2.44516E-02,6.87000E-01,6.25000E+00,3.42583E-01
SA(3.53),2.44516E-02,6.87000E-01,6.75000E+00,2.74395E-01
SA(3.53),2.44516E-02,6.87000E-01,7.25000E+00,3.08220E-01
SA(3.53),2.44516E-02,6.87000E-01,7.75000E+00,8.30493E-02
SA(3.53),2.44516E-02,6.87000E-01,8.25000E+00,4.53789E-02
SA(3.53),2.44516E-02,6.87000E-01,8.75000E+00,4.31480E-02
