#,,"generated_by='OpenQuake engine 3.21.0', start_date='2025-07-24T11:00:29', checksum=780008276"
rlz_id,branch_path,weight
0,AA~AAA,2.5918148e-02
1,AA~AAB,2.5918148e-02
2,AA~AAC,2.5925925e-02
3,AA~ABA,2.5918148e-02
4,AA~ABB,2.5918148e-02
5,AA~ABC,2.5925925e-02
6,AA~ACA,2.5925925e-02
7,AA~ACB,2.5925925e-02
8,AA~ACC,2.5933703e-02
9,AA~BAA,2.5918148e-02
10,AA~BAB,2.5918148e-02
11,AA~BAC,2.5925925e-02
12,AA~BBA,2.5918148e-02
13,AA~BBB,2.5918148e-02
14,AA~BBC,2.5925925e-02
15,AA~BCA,2.5925925e-02
16,AA~BCB,2.5925925e-02
17,AA~BCC,2.5933703e-02
18,AA~CAA,2.5925925e-02
19,AA~CAB,2.5925925e-02
20,AA~CAC,2.5933703e-02
21,AA~CBA,2.5925925e-02
22,AA~CBB,2.5925925e-02
23,AA~CBC,2.5933703e-02
24,AA~CCA,2.5933703e-02
25,AA~CCB,2.5933703e-02
26,AA~CCC,2.5941484e-02
27,AB~AAA,1.1107778e-02
28,AB~AAB,1.1107778e-02
29,AB~AAC,1.1111111e-02
30,AB~ABA,1.1107778e-02
31,AB~ABB,1.1107778e-02
32,AB~ABC,1.1111111e-02
33,AB~ACA,1.1111111e-02
34,AB~ACB,1.1111111e-02
35,AB~ACC,1.1114445e-02
36,AB~BAA,1.1107778e-02
37,AB~BAB,1.1107778e-02
38,AB~BAC,1.1111111e-02
39,AB~BBA,1.1107778e-02
40,AB~BBB,1.1107778e-02
41,AB~BBC,1.1111111e-02
42,AB~BCA,1.1111111e-02
43,AB~BCB,1.1111111e-02
44,AB~BCC,1.1114445e-02
45,AB~CAA,1.1111111e-02
46,AB~CAB,1.1111111e-02
47,AB~CAC,1.1114445e-02
48,AB~CBA,1.1111111e-02
49,AB~CBB,1.1111111e-02
50,AB~CBC,1.1114445e-02
51,AB~CCA,1.1114445e-02
52,AB~CCB,1.1114445e-02
53,AB~CCC,1.1117780e-02
